query_id,table_id,gold_row,gold_col,in_chunk,rank
c2eb6c8723b04386a465ed8f971c7f7a,97460834a1f4c71c,4,0,1,5
5c0f3d66b4674516bc63f255e013369b,d4ab11d4dfb41957,12,1,1,1
0ee500f0b1df4cc3a2c3e8fce8a01434,03d7a409bbf09fa2,0,0,1,0
0ee500f0b1df4cc3a2c3e8fce8a01434,03d7a409bbf09fa2,0,4,1,0
978faf477e024703907edf217c6e150d,fdf728a621fa2f19,14,4,1,1
079b792646e644b1a8788bfb38e5c828,717f6ae846b61bf3,1,3,1,1000000000
63e67cd35411490694bac2f2a27009a1,b9dcb5bb72f7a0cd,4,4,1,30
f657ff950c4c49688e6e0f28446452e2,df3f8578e606a920,6,0,1,1
3ca1cadd81314da7a2b3dab56e550137,48dd795e3d3cb949,17,0,1,2
194ef4214d4d4e328c1b7dda10197499,820410164e07262c,4,0,1,7
7a90f346c3b84c95b8fa08fec528a239,5eb60088df87fa29,6,2,1,1
7a90f346c3b84c95b8fa08fec528a239,5eb60088df87fa29,6,3,1,1
7a90f346c3b84c95b8fa08fec528a239,5eb60088df87fa29,9,2,1,1
7a90f346c3b84c95b8fa08fec528a239,5eb60088df87fa29,9,3,1,1
dc34a978c1be4bd2b42452e2a9abddc9,6e2fe05aea7a47a2,0,4,1,0
8ed85fa4f0824dcca47ff0837afcacc2,426390644b542bd0,1,1,1,2
8ed85fa4f0824dcca47ff0837afcacc2,a180c4fa6a1f626f,12,0,1,0
eb4e6d5e8c9d4aa5936cbf0d32f46f7f,de034dc1d5aee9e7,0,0,1,4
eb4e6d5e8c9d4aa5936cbf0d32f46f7f,de034dc1d5aee9e7,3,0,1,4
0a351fcd7d5a47598f8bd6e8c98b2668,746fb22f5d669a2d,4,2,1,0
77535d4d52c64713b4c3b52bf734d8f4,4866afb93bf8cdcd,1,3,1,1000000000
d35b6bd5685b4aa2940d107f437c1a23,e730d13774ef5439,0,0,1,3
d35b6bd5685b4aa2940d107f437c1a23,e730d13774ef5439,0,1,1,3
1f3f9d29452f4dc0ac9cd51d0d6aea80,09b623e854b90e7f,2,0,1,30
1f3f9d29452f4dc0ac9cd51d0d6aea80,09b623e854b90e7f,2,2,1,30
1f3f9d29452f4dc0ac9cd51d0d6aea80,09b623e854b90e7f,2,4,1,30
1f3f9d29452f4dc0ac9cd51d0d6aea80,09b623e854b90e7f,3,2,1,30
1f3f9d29452f4dc0ac9cd51d0d6aea80,09b623e854b90e7f,3,4,1,30
d0be87de413d42879dda129b179eec30,3273dab89635dd5f,4,1,1,1
d0be87de413d42879dda129b179eec30,ffa4fb4ea89830ae,1,0,1,0
b1de67552b6d4565a955cd9f1dfd44de,a2e6c207cb314964,7,0,1,1000000000
dc0efaaa19444d00971f904cfed1e1dc,49c18e80f5ef0cef,3,2,1,1000000000
3dc371d6365e49758f1a56e2628968a9,c8bce5488a9dc7dd,5,3,1,0
bd323dd400b745189c91300a6c73f272,01f6d38728b6670d,6,0,1,1
bd323dd400b745189c91300a6c73f272,e8a93aef7a615b4d,0,0,1,0
a9455d493640400b987e6621011a9c4a,775bbe2c44a11246,4,1,1,5
