query_id,query_type,pool,dataset,question,gold_answer,gold_table_id,gold_cells
ca74a89d29c24b95c34c73bfce4e4b37,lookup,hitab_lookup,hitab,"in 1984-85, how many goals did o'callaghan make for stoke and then moved to oldham athletic?",[47.0],235_totto26747-1,"[[""235_totto26747-1"", 14, 8]]"
212abc6b824172c27a50da1ef0dc6863,lookup,hitab_lookup,hitab,what was the percentage-point difference between women aged 55 and older facing a high risk of job transformation as a result of automation and their male counterparts.?,[20.5],2424,"[[""2424"", 5, 6]]"
067b9f7073a004a9fc8e8847a3b30992,lookup,hitab_lookup,hitab,what the percentage of men who have taken a protective measure online due to harassment are in the past 12 months of 2018?,[18.7],914,"[[""914"", 20, 3]]"
ea344a48c28c0cb8f43bb4a65fbf6468,lookup,hitab_lookup,hitab,what is the difference in non-mortage debt between homeowner families with positive expectations and other homeowner families?,[6836.0],446,"[[""446"", 0, 0]]"
5963566e6cb45f61d99f51d21b35df8b,lookup,hitab_lookup,hitab,what was the proportion of male workers that reported working part-time in 2015 in the homelessness support sector?,[21.6],1725,"[[""1725"", 14, 3]]"
4ea3c1908ca49ceab34fd92206ed73cb,lookup,hitab_lookup,hitab,what percentage of girls have child care in their own home?,[11.9],2754,"[[""2754"", 4, 2]]"
484bff04b1cdb6da37eab7427b2c1468,lookup,hitab_lookup,hitab,how manypercentage points have immigrants born in india been admitted under the family category of the immigration policy in 2014?,[28.5],2581,"[[""2581"", 24, 3]]"
2a8ec7207e427d6dc2cc5769d42cbe54,lookup,hitab_lookup,hitab,"there is a higher proportion of aboriginal children in those provinces of all children aged 14 and under, what was the proportion of aboriginal children in the northwest territories?",[66.8],1335,"[[""1335"", 12, 0]]"
e92bb7095157dc83d89eb92bb4e91fea,lookup,hitab_lookup,hitab,how many appearances did scott score with brentford?,[295.0],576_totto65983-0,"[[""576_totto65983-0"", 12, 5]]"
1b52083c3c0d00cd319d91b847968c8c,lookup,hitab_lookup,hitab,how many yards di taylor heinicke pass for in 2014.,[3476.0],288_totto33063-2,"[[""288_totto33063-2"", 3, 3]]"
d7455231b6dc9e9e42605597190508f6,lookup,hitab_lookup,hitab,what was the proportion of homelessness support sector workers in atlantic provinces?,[5.3],1719,"[[""1719"", 1, 3]]"
ea26a92087de26fc72dd0f857f7d773a,lookup,hitab_lookup,hitab,what was the percentage of respondonts who does not have internet access at home.,[1.2],1471,"[[""1471"", 0, 4]]"
aec1f0a6ebc749db47196251db6d8e79,lookup,hitab_lookup,hitab,what was the ratio of third-plus generation whites men being employed by observed?,[85.8],2658,"[[""2658"", 12, 0]]"
180430ab9d69287876277342e1932782,lookup,hitab_lookup,hitab,"within women of core working age of a visible minority, what was the percentag points were arab women likely to be employed?",[51.5],763,"[[""763"", 6, 0]]"
bc2c79650aeabc8fbc5ba822c7d680e3,lookup,hitab_lookup,hitab,what is the result of mario leitner's second run in the men's kayaking event?,[93.89],13_totto1593-3,"[[""13_totto1593-3"", 0, 2]]"
89226522b85d59368bdf596836f5243f,lookup,hitab_lookup,hitab,what is the percentage of persons who do not receive enough help with getting to appointments/running errands?,[13.5],389,"[[""389"", 9, 0]]"
0800ca403a81672885f641d33c45e207,lookup,hitab_lookup,hitab,"the three largest cmas, what is the percentage of the decrease of toronto which accounted for 48% of all robberies reported by police in 2015?",[6],2003,"[[""2003"", 13, 5]]"
0757eeca1a2071815dda7ed43d4193d6,lookup,hitab_lookup,hitab,"among employed women, what was the proportion of employed population aged 55 and over for black women in 2016?",[14.0],307,"[[""307"", 3, 1]]"
18f3f339a6114d861d92a78c8c546a1a,lookup,hitab_lookup,hitab,how many adults have unperceived hearing loss?,[6307.0],504,"[[""504"", 0, 4]]"
46261f3bc740f6f862d5aeead10d7e43,lookup,hitab_lookup,hitab,what is the percentage of persons who need help with getting to appointments/running errands but do not receive it overall?,[4.6],389,"[[""389"", 8, 0]]"
4b44bab6aed547f8b7397020c579ed1b,lookup,hitab_lookup,hitab,how many adults have audiometrically measured hearing loss in total?,[8192.0],504,"[[""504"", 0, 0]]"
a3c6472e30f2c01e69d4f4a3a1f4110e,lookup,hitab_lookup,hitab,what was the ratio of younger workers to older workers among men aged 55 and over that were financial auditors and accountants in 2016?,[0.88],2314,"[[""2314"", 1, 7]]"
bef7447547f288a7ebdf2cfce1d7fa96,lookup,hitab_lookup,hitab,what is the percentage of construction managers aged 55 and over among all construction managers in 1996?,[16.9],2318,"[[""2318"", 3, 1]]"
06c98863303d7c49789fcb592f610f02,lookup,hitab_lookup,hitab,what percentage of 3- to 5-year-old boys had care in a nursery school or preschool?,[10.2],2754,"[[""2754"", 7, 5]]"
b31424835143985589ba9690f6d3a516,lookup,hitab_lookup,hitab,how many percentage points was canadians reporting that they did not have a regular health care provider in 2015?,[16.8],2104,"[[""2104"", 0, 0]]"
4048c3ca8420de38e811bdfbb7f2cfc3,lookup,hitab_lookup,hitab,how many games did tom brady start than any other quarterbacks?,[267.0],509_totto58275-2,"[[""509_totto58275-2"", 0, 1]]"
e4c534b3a27384e53f06c70399989a68,lookup,hitab_lookup,hitab,how many percnet of women who had experienced unwanted sexualized behaviour stated that the perpetrator was a professor or instructor?,[5.4],2468,"[[""2468"", 9, 3]]"
cd8bef0a3cb050d56a6052f96f71acbe,lookup,hitab_lookup,hitab,what is the percentage of refugees from other countries excluding syria admitted in 2016?,[26.6],245,"[[""245"", 3, 6]]"
e12f1da4f00cf059d1f5d6473ffd3b6f,lookup,hitab_lookup,hitab,what percentage of men experienced unwanted sexual behaviours online in the past 12 months of 2018 are?,[13.6],914,"[[""914"", 15, 3]]"
8862f59db99997904734a0a59b30c1e7,lookup,hitab_lookup,hitab,"how many copies did the single""fui ni"" sale?",[90103.0],343_totto38967-0,"[[""343_totto38967-0"", 1, 3]]"
4756d5feadf04f35547ef701a3a8fff4,lookup,hitab_lookup,hitab,"in the 21 months prior to #metoo (january 1, 2016 to september 30, 2017), what was an average of victims of sexual assault per 100,000 population per quarter?",[15.0],1643,"[[""1643"", 13, 1]]"
9432a4975e4d450ed56a38110043db5d,lookup,hitab_lookup,hitab,what was the proportion of homelessness support sector workers in toronto?,[13.8],1719,"[[""1719"", 23, 3]]"
bbe63aa742a7dc8f63e9b4f84612659d,lookup,hitab_lookup,hitab,how many touchdown passes did meyer get in 2013?,[112.0],476_totto54236-2,"[[""476_totto54236-2"", 3, 4]]"
5acdd416226f4ef908e21d88ec65b14d,lookup,hitab_lookup,hitab,what's the percent that mfp growth decreased from 2000 to 2009?,[0.9],912,"[[""912"", 0, 1]]"
ffa1048c4fd19fdf169221a74c63c58b,lookup,hitab_lookup,hitab,how many million dollars were constantdollar obligations estimated to increase to in fy 2016?,[127692.0],192_90_tab1,"[[""192_90_tab1"", 0, 8]]"
01be923d4bb0ebebd8d572b9e35c323b,lookup,hitab_lookup,hitab,what was the rate of homicides committed with sawed-off rifles or shotguns in 2015?,[0.06],1800,"[[""1800"", 20, 5]]"
eef1a754da9302422a8ae635e89452e2,lookup,hitab_lookup,hitab,what was the percentage of children who were identified as meeting at least one of the five cshcn screener criteria?,[17.5],2368,"[[""2368"", 0, 0]]"
fda324107e648d478914ec7295e448fd,lookup,hitab_lookup,hitab,what percentage of 3- to 5-year-old girls had care in child's own home?,[10.5],2754,"[[""2754"", 4, 4]]"
334a684e4499f93a1b78aa2a2ce22e41,lookup,hitab_lookup,hitab,how many percent of the s&e workforce intensities of ht manufacturing industries?,[26.4],36_155_tab3,"[[""36_155_tab3"", 5, 7]]"
dfa1f9b5d64d57549ff633f247ac53a5,lookup,hitab_lookup,hitab,how many percentage points of donation have been colleceted through door-to-door canvassing?,[1.7],2549,"[[""2549"", 9, 6]]"
69bff24b26dec39f65a34192d0ab21b7,lookup,hitab_lookup,hitab,what was the overqualification rate of canadian-born non-visible minority women?,[14.0],2306,"[[""2306"", 1, 0]]"
32898e7fddbcabf14efb476a15a160f3,lookup,hitab_lookup,hitab,what's the percent that mfp without utilization adjustment declined over the period from 2000 to 2009?,[0.9],912,"[[""912"", 0, 1]]"
45633d7f3f330bdd26f8339f6b7f42e1,lookup,hitab_lookup,hitab,"increases in rates of motor vehicle theft in alberta's two cmas, what is the percentage of calgary accounted for most of the increased number of incidents at the national level in 2015?",[67.0],2003,"[[""2003"", 27, 9]]"
efb84464dea96b1f03942b719a66fb26,lookup,hitab_lookup,hitab,"how many percentage points of donation have been colleceted collected at a church, synagogue, mosque or other place of worship?",[31.7],2549,"[[""2549"", 11, 6]]"
68a72730058d6e72e35d989254915b7a,lookup,hitab_lookup,hitab,what is the median age of syrian privately sponsored refugees at the time of admission?,[26.0],247,"[[""247"", 1, 1]]"
18c142f36ea1b88240f0674972f020ec,lookup,hitab_lookup,hitab,what percentage of drivers who reported driving slower than the average reported drinking and driving?,[2.9],2396,"[[""2396"", 1, 1]]"
78ce8c9b3c72c553a225642de85c58a9,lookup,hitab_lookup,hitab,"much of the increase in the rate of breaking and entering at the national level between 2014 and 2015 can be accounted for somewhat mitigated by a drop in the rate of break-ins in montreal, what is the percentage of this drop?",[7],2003,"[[""2003"", 8, 7]]"
1a86be5219a9b6050daa879a3cf7a5cc,lookup,hitab_lookup,hitab,what percentage of boys have child care in their own home?,[12.3],2754,"[[""2754"", 4, 3]]"
70e4bf6cca907f08aacb28d8ada7a63d,lookup,hitab_lookup,hitab,how many percent did inflation-adjusted growth in u.s. gross domestic product (gdp) average annually over the 5-year period 2008-13?,[1.2],18_127_tab2,"[[""18_127_tab2"", 17, 2]]"
6c0be575016f9ddbcf9bb01eb7961122,lookup,hitab_lookup,hitab,what was the proportion of female workers that reported working part-time in 2015 in the homelessness support sector?,[29.6],1725,"[[""1725"", 9, 3]]"
bf3958b89b05b7c9a641d0c55212d2f3,lookup,hitab_lookup,hitab,how many percentage points of imports in capital goods were originated from china in 2016?,[19.0],1539,"[[""1539"", 3, 5]]"
569012fc1a7a4650d24f30c03ea1855d,lookup,hitab_lookup,hitab,"on april 2011, sinclair released her debut album as natalia kills, what was the number did perfectionist by cherrytree and interscope peak on the uk albums chart?",[129.0],411_totto47644-1,"[[""411_totto47644-1"", 0, 0]]"
fdbdff6f0462088fc2fb100d71b3079a,lookup,hitab_lookup,hitab,"over the past decade, developed countries that produce over 50,000 papers or more annually experienced relatively low average annual growth rates, what was the rates for france?",[3.4],169_84_tab1,"[[""169_84_tab1"", 7, 3]]"
0c4c94fa98b3cce52034667a171349d2,lookup,hitab_lookup,hitab,"in 1984-85, how many appearances did o'callaghan make for stoke and then moved to oldham athletic?",[294.0],235_totto26747-1,"[[""235_totto26747-1"", 14, 7]]"
e7ce5b12b2b9bc03eda39079dde124b4,lookup,hitab_lookup,hitab,how many yards did matthew stafford complete in 2014?,[254.0],407_totto47327-3,"[[""407_totto47327-3"", 5, 13]]"
97103fcdad9188a6019a728c5ee3001e,lookup,hitab_lookup,hitab,what was the number of the circulatory disease-specific ashr among vietnamese refugees?,[55.9],2410,"[[""2410"", 8, 3]]"
ad07b2f51198338df680eb17e30f6a5d,lookup,hitab_lookup,hitab,what is the percentage of men having driven an on-road vehicle impaired?,[7.5],2395,"[[""2395"", 1, 1]]"
26ad31bf18ac8c6c0af67ad556eafdcc,lookup,hitab_lookup,hitab,"what is the average daily minutes of moderate-to-vigorous physical activity accumulated by canadian youth, according to the actical(accelerometer-measured)?",[49.7],1304,"[[""1304"", 1, 0]]"
7881d82dc708ae9370f1a06d421c2d70,lookup,hitab_lookup,hitab,how many percentage points have donations been collected through canvassing in a shopping centre or on the street?,[1.4],2549,"[[""2549"", 10, 6]]"
1486d45ecf75824e978fa287bcdd561e,lookup,hitab_lookup,hitab,how many years are the estimates of the expected discard age taken from the simultaneous estimate?,[25.6],1390,"[[""1390"", 9, 2]]"
q-420,lookup,aitqa,aitqa,"As of the end of 2018, what is the value of American Airlines' finance lease liabilities that mature within a year?",$124,tab-87,"[[""tab-87"", 0, 1]]"
q-150,lookup,aitqa,aitqa,how much was the income tax expense for United Airlines in 2019 ?,905,tab-28,"[[""tab-28"", 23, 0]]"
q-109,lookup,aitqa,aitqa,how much did the revenue from baggage Fees increase for Delta Airlines in 2017,27,tab-19,"[[""tab-19"", 3, 2]]"
q-493,lookup,aitqa,aitqa,Which employees of Southwest airlines does IBT represent?,Southwest Flight Simulator Technicians,tab-110,"[[""tab-110"", 9, 0]]"
q-236,lookup,aitqa,aitqa,What is the regional average stage length (miles) in 2018 for Alaska Airline?,468,tab-44,"[[""tab-44"", 7, 0]]"
q-220,lookup,aitqa,aitqa,How many airplanes did American Airlines have in total as of 2017?,948,tab-40,"[[""tab-40"", 15, 4]]"
q-21,lookup,aitqa,aitqa,By what percentage did number of passengers increase for United's Atlantic operations from 2016 to 2017?,0.5%,tab-3,"[[""tab-3"", 5, 1]]"
q-168,lookup,aitqa,aitqa,What was the ASM of Southwest in year 2016?,"148,522,051",tab-32,"[[""tab-32"", 16, 2]]"
q-491,lookup,aitqa,aitqa,"In 2017, how many employees of Southwest were flight attendants?","14,500",tab-110,"[[""tab-110"", 1, 1]]"
q-146,lookup,aitqa,aitqa,What is the operating revenue on Cargo in the year 2019 for United?,"1,179",tab-28,"[[""tab-28"", 1, 0]]"
q-453,lookup,aitqa,aitqa,Get the percentage of Alaska's fuel expense spent on buying crude oil in 2014?,72%,tab-99,"[[""tab-99"", 0, 3]]"
q-376,lookup,aitqa,aitqa,How much is the net income for Delta airlines in 2014? ,$659,tab-79,"[[""tab-79"", 6, 4]]"
q-139,lookup,aitqa,aitqa,how much did the united airlines spend in salary costs in 2019?,"$12,071",tab-27,"[[""tab-27"", 0, 0]]"
q-397,lookup,aitqa,aitqa,What is the fuel consumption of Delta Airlines in 2018?,"4,113",tab-80,"[[""tab-80"", 7, 0]]"
q-309,lookup,aitqa,aitqa,Show the total revenue per ASM of American Airlines in 2018.,15.79,tab-66,"[[""tab-66"", 5, 1]]"
q-112,lookup,aitqa,aitqa,what was the percentage increase in revenue from baggage fees for Delta airlines in 2017 ?,3.1 %,tab-19,"[[""tab-19"", 3, 3]]"
q-111,lookup,aitqa,aitqa,what was the increase in revenue from ancillary businesses and refinery of Delta airlines between 2016 to 2017?,283,tab-19,"[[""tab-19"", 2, 2]]"
q-141,lookup,aitqa,aitqa,what is the increase in total operating expenses by United in 2019?,$884,tab-27,"[[""tab-27"", 10, 2]]"
q-207,lookup,aitqa,aitqa,In 2017 what was the fuel gallon consumption of American Airlines ?,"4,352",tab-39,"[[""tab-39"", 0, 1]]"
